Date,plot,rbtotal,rbnh,bltotal,blnh,temp,temp2,soilms
0,LO,0,0,0,0,3.32,11.0224,0.624
1,LO,1,0,0,0,4.84,23.4256,0.645
2,LO,1,1,6,6,5.866666667,34.41777778,0.693583742
3,HI,0,0,2,2,6.461111111,41.74595679,0.606984759
4,HI,3,3,11,10,6.594444444,43.48669753,0.595813752
5,HI,4,4,15,15,8.172222222,66.78521605,0.581826275
6,HI,7,6,10,10,8.544444444,73.00753086,0.6
7,HI,3,3,6,6,8.861111111,78.51929012,0.589932886
8,LO,4,4,6,3,9.122222222,83.21493827,0.606441556
9,LO,4,4,7,5,9.288888889,86.28345679,0.569119128
10,LO,3,3,4,4,9.772222222,95.49632716,0.688040602
11,HI,10,10,13,13,9.844444444,96.91308641,0.650185953
12,HI,1,1,3,2,10.27222222,105.5185493,0.58639499
13,HI,0,0,5,3,10.36111111,107.3526234,0.638820143
14,LO,2,1,2,1,10.39444444,108.0444752,0.657442208
15,LO,3,1,4,3,10.62777778,112.9496605,0.676405703
16,HI,0,0,3,2,10.9,118.81,NA
17,LO,6,6,4,4,11.05555556,122.2253087,0.707499899
18,HI,0,0,4,4,11.41111111,130.2134568,0.655408173
19,HI,3,3,1,1,11.6,134.56,0.679667235
20,LO,5,4,10,8,12.36666667,152.9344445,0.581708613
21,HI,0,0,5,5,12.39444444,153.622253,0.598867305
22,LO,1,1,2,2,13.01111111,169.2890123,0.677411155
23,LO,8,6,17,13,13.06111111,170.5926234,NA
24,HI,3,3,15,14,13.07222222,170.8829938,0.615046309
25,HI,1,1,3,2,13.44444444,180.7530863,0.56547363
26,LO,4,4,1,1,13.475,181.575625,0.709077201
27,LO,0,0,4,4,13.86666667,192.2844445,0.651334726
28,LO,1,1,4,4,14,196,0.670556756
29,LO,4,4,7,6,14.27777778,203.8549383,NA
30,LO,1,1,1,1,14.32777778,205.2852161,0.674893383
31,LO,0,0,2,2,14.46666667,209.2844445,0.683009991
32,HI,0,0,4,4,14.6,213.16,0.636575835
33,HI,0,0,1,0,14.817,219.534,0.598
34,HI,4,4,21,20,15.01111111,225.3334568,0.552425899
35,HI,0,0,2,0,15.17,230.196,0.374
36,HI,0,0,3,3,15.25555556,232.7319754,0.669676268
37,HI,0,0,2,2,15.41666667,237.6736112,0.635084885
38,LO,4,4,2,2,16.47222222,271.3341049,NA
39,LO,0,0,2,2,16.92777778,286.5496606,0.583670267
40,LO,2,2,10,9,17.15,294.1225,0.496597607
41,HI,0,0,0,0,17.86,319.02,0.652
42,HI,0,0,5,4,17.91111111,320.8079012,0.519413691
43,HI,0,0,7,7,17.97777778,323.2004939,0.611240537
44,HI,0,0,1,1,18.22777778,332.2518828,0.482963732
45,HI,1,1,0,0,18.69444444,349.4822529,0.364091531
